['trace:', '3.6323974082073436']
['ratty:', '3.944708423326134']
['toxic:', '3.944708423326134']
['award:', '3.9451403887688983']
['junto:', '3.9451403887688983']
['rebar:', '3.945572354211663']
['theta:', '3.9460043196544277']
['cinch:', '3.9464362850971924']
['sleek:', '3.9464362850971924']
['sooty:', '3.9464362850971924']
['bible:', '3.9468682505399566']
['etude:', '3.9468682505399566']
['avoid:', '3.9473002159827213']
['bribe:', '3.9473002159827213']
['flood:', '3.947732181425486']
['grill:', '3.947732181425486']
['vogue:', '3.947732181425486']
['catty:', '3.9481641468682507']
['eager:', '3.9481641468682507']
['helix:', '3.9481641468682507']
['label:', '3.9481641468682507']
['roger:', '3.9481641468682507']
['swell:', '3.9481641468682507']
['patty:', '3.948596112311015']
['annul:', '3.9490280777537796']
['vague:', '3.9494600431965443']
['ahead:', '3.949892008639309']
['crazy:', '3.949892008639309']
['fence:', '3.949892008639309']
['floss:', '3.949892008639309']
['hitch:', '3.949892008639309']
['conic:', '3.9503239740820733']
['dryer:', '3.9503239740820733']
['slush:', '3.9503239740820733']
['elide:', '3.950755939524838']
['rigid:', '3.9511879049676026']
['sewer:', '3.9511879049676026']
['testy:', '3.9511879049676026']
['beget:', '3.9516198704103673']
['bliss:', '3.9516198704103673']
['sheep:', '3.9516198704103673']
['twist:', '3.9516198704103673']
['attic:', '3.9520518358531316']
['staff:', '3.9520518358531316']
['usual:', '3.9520518358531316']
['agora:', '3.9524838012958963']
['amiss:', '3.9524838012958963']
['butte:', '3.9524838012958963']
['proxy:', '3.9524838012958963']
['wimpy:', '3.9524838012958963']
['eagle:', '3.952915766738661']
['groom:', '3.952915766738661']
['legal:', '3.952915766738661']
['maize:', '3.952915766738661']
['merge:', '3.952915766738661']
['naval:', '3.952915766738661']
['above:', '3.9533477321814257']
['photo:', '3.9533477321814257']
['gorge:', '3.95377969762419']
['rally:', '3.9542116630669546']
['banjo:', '3.9546436285097193']
['hunky:', '3.9546436285097193']
['goose:', '3.955075593952484']
['sniff:', '3.955075593952484']
['verse:', '3.955075593952484']
['broom:', '3.9555075593952482']
['octet:', '3.9555075593952482']
['squad:', '3.9555075593952482']
['coach:', '3.955939524838013']
['heath:', '3.955939524838013']
['picky:', '3.955939524838013']
['siege:', '3.955939524838013']
['whiny:', '3.955939524838013']
['dwell:', '3.9563714902807776']
['abase:', '3.9568034557235423']
['aging:', '3.9568034557235423']
['canny:', '3.9572354211663066']
['chill:', '3.9572354211663066']
['igloo:', '3.9572354211663066']
['nerve:', '3.9576673866090712']
['parka:', '3.9576673866090712']
['serve:', '3.9576673866090712']
['afoot:', '3.958099352051836']
['alpha:', '3.958099352051836']
['dandy:', '3.958099352051836']
['pooch:', '3.9585313174946006']
['zebra:', '3.9585313174946006']
['zesty:', '3.9585313174946006']
['aware:', '3.958963282937365']
['conch:', '3.958963282937365']
['leech:', '3.958963282937365']
['petty:', '3.958963282937365']
['plump:', '3.958963282937365']
['rower:', '3.958963282937365']
['timid:', '3.9593952483801296']
['gloom:', '3.9598272138228943']
['abbot:', '3.960259179265659']
['digit:', '3.960259179265659']
['lipid:', '3.960259179265659']
['usurp:', '3.960259179265659']
['revel:', '3.960691144708423']
['never:', '3.961123110151188']
['sully:', '3.9615550755939526']
['again:', '3.9619870410367173']
['flail:', '3.9619870410367173']
['leery:', '3.9619870410367173']
['rumor:', '3.9619870410367173']
['alibi:', '3.9624190064794815']
['agape:', '3.963282937365011']
['agate:', '3.963282937365011']
['augur:', '3.963282937365011']
['utter:', '3.963282937365011']
['fungi:', '3.96414686825054']
['genie:', '3.96414686825054']
['tibia:', '3.96414686825054']
['wooer:', '3.96414686825054']
['chess:', '3.9645788336933045']
['fauna:', '3.9645788336933045']
['leave:', '3.9645788336933045']
['qualm:', '3.9645788336933045']
['husky:', '3.9650107991360692']
['juice:', '3.9650107991360692']
['sunny:', '3.9650107991360692']
['whack:', '3.9650107991360692']
['basis:', '3.9654427645788335']
['quail:', '3.9654427645788335']
['theme:', '3.9654427645788335']
['aloof:', '3.965874730021598']
['inbox:', '3.965874730021598']
['curry:', '3.966306695464363']
['waxen:', '3.966306695464363']
['ionic:', '3.9667386609071276']
['lupus:', '3.9667386609071276']
['ditto:', '3.967170626349892']
['creek:', '3.9676025917926565']
['arrow:', '3.968034557235421']
['await:', '3.968034557235421']
['cache:', '3.968466522678186']
['seedy:', '3.968466522678186']
['uncut:', '3.968466522678186']
['crook:', '3.96889848812095']
['funky:', '3.96889848812095']
['seven:', '3.96889848812095']
['idiot:', '3.969330453563715']
['liege:', '3.969330453563715']
['mucky:', '3.969330453563715']
['hunch:', '3.970194384449244']
['hutch:', '3.970194384449244']
['adage:', '3.971058315334773']
['kneel:', '3.971058315334773']
['quote:', '3.971058315334773']
['unify:', '3.971058315334773']
['wacky:', '3.971058315334773']
['gayly:', '3.9719222462203025']
['annoy:', '3.972354211663067']
['outdo:', '3.972354211663067']
['penny:', '3.972354211663067']
['sever:', '3.972354211663067']
['axiom:', '3.9727861771058315']
['frill:', '3.9727861771058315']
['lever:', '3.9727861771058315']
['marry:', '3.973218142548596']
['stout:', '3.973650107991361']
['vodka:', '3.973650107991361']
['modem:', '3.974082073434125']
['alley:', '3.97451403887689']
['upper:', '3.97451403887689']
['agree:', '3.9749460043196545']
['bloom:', '3.9749460043196545']
['enema:', '3.9749460043196545']
['occur:', '3.9749460043196545']
['ensue:', '3.975377969762419']
['equal:', '3.975377969762419']
['mucus:', '3.975377969762419']
['obese:', '3.9758099352051834']
['allow:', '3.976241900647948']
['apply:', '3.976241900647948']
['silly:', '3.976673866090713']
['booth:', '3.9771058315334775']
['lorry:', '3.9771058315334775']
['spoof:', '3.9775377969762418']
['loopy:', '3.9779697624190065']
['needy:', '3.9779697624190065']
['comma:', '3.978401727861771']
['deuce:', '3.978401727861771']
['diode:', '3.978401727861771']
['merry:', '3.978833693304536']
['quilt:', '3.978833693304536']
['swoon:', '3.978833693304536']
['druid:', '3.979697624190065']
['elude:', '3.980561555075594']
['paddy:', '3.980561555075594']
['alloy:', '3.9809935205183584']
['dryly:', '3.9809935205183584']
['knoll:', '3.9809935205183584']
['quash:', '3.9809935205183584']
['scoff:', '3.9809935205183584']
['swoop:', '3.9809935205183584']
['crock:', '3.981425485961123']
['comic:', '3.981857451403888']
['mecca:', '3.981857451403888']
['ninth:', '3.981857451403888']
['undue:', '3.981857451403888']
['smash:', '3.982289416846652']
['bosom:', '3.9827213822894167']
['coyly:', '3.9827213822894167']
['nutty:', '3.9827213822894167']
['segue:', '3.9831533477321814']
['sweep:', '3.983585313174946']
['batty:', '3.984449244060475']
['gassy:', '3.984449244060475']
['skull:', '3.9848812095032398']
['teddy:', '3.9848812095032398']
['clock:', '3.9857451403887687']
['rabbi:', '3.9857451403887687']
['chili:', '3.9861771058315334']
['putty:', '3.9861771058315334']
['udder:', '3.986609071274298']
['fella:', '3.987041036717063']
['vying:', '3.987041036717063']
['macaw:', '3.987473002159827']
['delve:', '3.9879049676025917']
['ether:', '3.9879049676025917']
['skill:', '3.9879049676025917']
['quiet:', '3.9883369330453564']
['snuff:', '3.9883369330453564']
['spook:', '3.9883369330453564']
['dodge:', '3.9892008639308854']
['swill:', '3.9892008639308854']
['where:', '3.98963282937365']
['dilly:', '3.9900647948164147']
['idiom:', '3.9900647948164147']
['stiff:', '3.9909287257019437']
['karma:', '3.9913606911447084']
['offer:', '3.9913606911447084']
['ditty:', '3.991792656587473']
['forgo:', '3.991792656587473']
['avian:', '3.992656587473002']
['gawky:', '3.9930885529157667']
['quite:', '3.9930885529157667']
['larva:', '3.993952483801296']
['berry:', '3.9943844492440603']
['bongo:', '3.9943844492440603']
['chaff:', '3.9943844492440603']
['furor:', '3.9943844492440603']
['hedge:', '3.994816414686825']
['dolly:', '3.9952483801295897']
['quota:', '3.9956803455723544']
['tabby:', '3.9956803455723544']
['ferry:', '3.9965442764578833']
['shook:', '3.9965442764578833']
['river:', '3.996976241900648']
['embed:', '3.9974082073434127']
['gauze:', '3.9974082073434127']
['roomy:', '3.9974082073434127']
['toddy:', '3.9974082073434127']
['visit:', '3.9974082073434127']
['civil:', '3.997840172786177']
['joker:', '3.997840172786177']
['fatty:', '3.9982721382289417']
['koala:', '3.9987041036717064']
['theft:', '3.9987041036717064']
['belly:', '3.9995680345572353']
['mambo:', '3.9995680345572353']
['plaza:', '3.9995680345572353']
['quoth:', '4.0']
['crick:', '4.000431965442765']
['reedy:', '4.000431965442765']
['epoxy:', '4.000863930885529']
['fifth:', '4.001295896328294']
['harry:', '4.001295896328294']
['loyal:', '4.001295896328294']
['salsa:', '4.001295896328294']
['folio:', '4.001727861771058']
['going:', '4.001727861771058']
['hippo:', '4.001727861771058']
['offal:', '4.001727861771058']
['event:', '4.002159827213823']
['cluck:', '4.002591792656587']
['golly:', '4.002591792656587']
['judge:', '4.002591792656587']
['nylon:', '4.002591792656587']
['rover:', '4.002591792656587']
['stuff:', '4.003023758099352']
['squib:', '4.003887688984881']
['couch:', '4.004751619870411']
['knack:', '4.004751619870411']
['oxide:', '4.004751619870411']
['blurb:', '4.0051835853131745']
['krill:', '4.0051835853131745']
['holly:', '4.006047516198704']
['skulk:', '4.006047516198704']
['fanny:', '4.006479481641469']
['shyly:', '4.006479481641469']
['whoop:', '4.006479481641469']
['abyss:', '4.006911447084233']
['dully:', '4.006911447084233']
['quark:', '4.007775377969763']
['guess:', '4.008207343412527']
['cliff:', '4.008639308855291']
['brook:', '4.009935205183585']
['cabby:', '4.01036717062635']
['polyp:', '4.01036717062635']
['taffy:', '4.010799136069115']
['beech:', '4.011231101511879']
['tight:', '4.011663066954644']
['fewer:', '4.0125269978401725']
['papal:', '4.012958963282937']
['payee:', '4.012958963282937']
['enjoy:', '4.013390928725702']
['icing:', '4.013390928725702']
['booty:', '4.013822894168467']
['myrrh:', '4.013822894168467']
['bitty:', '4.014254859611231']
['quack:', '4.014686825053996']
['thigh:', '4.015118790496761']
['mafia:', '4.0155507559395245']
['outgo:', '4.0155507559395245']
['pulpy:', '4.0155507559395245']
['elegy:', '4.015982721382289']
['tenet:', '4.015982721382289']
['gauge:', '4.016414686825054']
['ember:', '4.016846652267819']
['kiosk:', '4.016846652267819']
['soggy:', '4.016846652267819']
['aback:', '4.017710583153348']
['pupil:', '4.017710583153348']
['fever:', '4.018142548596113']
['kneed:', '4.018142548596113']
['valve:', '4.018142548596113']
['query:', '4.018574514038877']
['ruddy:', '4.019006479481641']
['skunk:', '4.019006479481641']
['wheel:', '4.0198704103671705']
['click:', '4.020302375809935']
['bevel:', '4.021166306695465']
['rotor:', '4.021166306695465']
['caddy:', '4.021598272138229']
['mossy:', '4.021598272138229']
['cycle:', '4.022030237580993']
['knock:', '4.022030237580993']
['vixen:', '4.022030237580993']
['gaffe:', '4.022462203023758']
['wedge:', '4.022462203023758']
['swish:', '4.0228941684665225']
['bluff:', '4.023326133909287']
['sieve:', '4.023758099352052']
['gouge:', '4.024190064794817']
['equip:', '4.024622030237581']
['livid:', '4.024622030237581']
['gruff:', '4.025917926565874']
['swash:', '4.025917926565874']
['dodgy:', '4.026349892008639']
['lobby:', '4.026781857451404']
['bully:', '4.027645788336933']
['issue:', '4.027645788336933']
['moody:', '4.028077753779698']
['pique:', '4.028077753779698']
['idyll:', '4.028509719222463']
['awash:', '4.028941684665226']
['essay:', '4.028941684665226']
['hurry:', '4.028941684665226']
['evade:', '4.029805615550756']
['heave:', '4.03110151187905']
['enemy:', '4.0315334773218146']
['goody:', '4.0315334773218146']
['humph:', '4.0315334773218146']
['worry:', '4.0315334773218146']
['verge:', '4.032397408207343']
['widow:', '4.032829373650108']
['bunny:', '4.033261339092872']
['cynic:', '4.033261339092872']
['billy:', '4.033693304535637']
['unzip:', '4.033693304535637']
['bossy:', '4.034125269978402']
['radar:', '4.034125269978402']
['missy:', '4.034989200863931']
['gooey:', '4.035421166306696']
['folly:', '4.03585313174946']
['razor:', '4.036285097192224']
['revue:', '4.036285097192224']
['wryly:', '4.036285097192224']
['gypsy:', '4.037149028077754']
['leggy:', '4.0375809935205185']
['witty:', '4.039308855291576']
['hilly:', '4.039740820734341']
['dummy:', '4.04060475161987']
['undid:', '4.04060475161987']
['happy:', '4.0419006479481645']
['jerky:', '4.0419006479481645']
['ennui:', '4.042764578833693']
['chock:', '4.043196544276458']
['oddly:', '4.044492440604752']
['avail:', '4.045356371490281']
['jumpy:', '4.045788336933045']
['quasi:', '4.04622030237581']
['tepee:', '4.04622030237581']
['wooly:', '4.04622030237581']
['villa:', '4.047516198704104']
['icily:', '4.047948164146868']
['muddy:', '4.047948164146868']
['quirk:', '4.047948164146868']
['buxom:', '4.048380129589633']
['savvy:', '4.049676025917926']
['buddy:', '4.050539956803456']
['union:', '4.05097192224622']
['exert:', '4.0522678185745145']
['humus:', '4.0522678185745145']
['excel:', '4.056155507559395']
['cheek:', '4.05658747300216']
['hussy:', '4.057883369330454']
['jumbo:', '4.057883369330454']
['which:', '4.057883369330454']
['chuck:', '4.059179265658747']
['rajah:', '4.059179265658747']
['abbey:', '4.059611231101512']
['sense:', '4.059611231101512']
['lowly:', '4.060475161987041']
['baggy:', '4.060907127429806']
['funny:', '4.061771058315335']
['piggy:', '4.061771058315335']
['skiff:', '4.061771058315335']
['gully:', '4.0626349892008635']
['fussy:', '4.064794816414687']
['fugue:', '4.065226781857452']
['furry:', '4.065226781857452']
['woody:', '4.065658747300216']
['guppy:', '4.06609071274298']
['filly:', '4.066522678185745']
['hippy:', '4.066522678185745']
['fifty:', '4.06695464362851']
['quake:', '4.06695464362851']
['seize:', '4.067818574514039']
['chick:', '4.068682505399568']
['weedy:', '4.069546436285097']
['every:', '4.0699784017278615']
['llama:', '4.0699784017278615']
['cubic:', '4.071274298056156']
['pygmy:', '4.07170626349892']
['biddy:', '4.07257019438445']
['ovoid:', '4.0730021598272135']
['hobby:', '4.073434125269978']
['weave:', '4.073434125269978']
['guava:', '4.075161987041037']
['known:', '4.075161987041037']
['dowdy:', '4.076889848812095']
['awake:', '4.0773218142548595']
['venue:', '4.0773218142548595']
['willy:', '4.079049676025918']
['amass:', '4.079913606911447']
['kitty:', '4.079913606911447']
['sushi:', '4.079913606911447']
['eject:', '4.0803455723542115']
['rarer:', '4.0803455723542115']
['vigil:', '4.081209503239741']
['check:', '4.0816414686825055']
['puffy:', '4.082505399568035']
['penne:', '4.082937365010799']
['juicy:', '4.083369330453563']
['freer:', '4.083801295896328']
['fully:', '4.083801295896328']
['bezel:', '4.084233261339093']
['kebab:', '4.0846652267818575']
['error:', '4.085097192224622']
['gummy:', '4.08682505399568']
['exile:', '4.087257019438445']
['beefy:', '4.0876889848812095']
['goofy:', '4.088120950323974']
['eerie:', '4.0889848812095035']
['madam:', '4.091144708423326']
['array:', '4.0920086393088555']
['axial:', '4.0920086393088555']
['annex:', '4.093304535637149']
['melee:', '4.093304535637149']
['motto:', '4.095464362850972']
['ozone:', '4.097624190064795']
['giddy:', '4.101079913606911']
['cacao:', '4.104535637149028']
['quick:', '4.104535637149028']
['booze:', '4.105399568034557']
['tooth:', '4.106263498920087']
['geeky:', '4.10755939524838']
['geese:', '4.10755939524838']
['refer:', '4.107991360691145']
['buggy:', '4.108855291576674']
['foggy:', '4.108855291576674']
['khaki:', '4.108855291576674']
['expel:', '4.1097192224622034']
['pixie:', '4.110151187904967']
['tatty:', '4.111015118790497']
['jetty:', '4.114038876889849']
['emcee:', '4.114902807775378']
['teeth:', '4.114902807775378']
['tweet:', '4.1170626349892006']
['belle:', '4.118790496760259']
['juror:', '4.119222462203024']
['quell:', '4.120950323974082']
['cocoa:', '4.121814254859611']
['kinky:', '4.126133909287257']
['evoke:', '4.126565874730022']
['assay:', '4.126997840172786']
['slyly:', '4.127861771058315']
['queer:', '4.129157667386609']
['ninja:', '4.132181425485961']
['allay:', '4.1347732181425485']
['onion:', '4.135205183585313']
['amaze:', '4.135637149028078']
['sassy:', '4.136069114470843']
['nanny:', '4.136501079913607']
['jewel:', '4.136933045356371']
['pizza:', '4.137365010799136']
['gamma:', '4.1377969762419005']
['queen:', '4.1377969762419005']
['whiff:', '4.139524838012959']
['jelly:', '4.141252699784017']
['magma:', '4.144708423326134']
['maxim:', '4.150323974082074']
['twixt:', '4.154211663066954']
['mimic:', '4.154643628509719']
['jolly:', '4.158099352051836']
['minim:', '4.158963282937365']
['daddy:', '4.16414686825054']
['sissy:', '4.16414686825054']
['kappa:', '4.165442764578834']
['level:', '4.16889848812095']
['affix:', '4.182289416846652']
['shush:', '4.182721382289417']
['boozy:', '4.186609071274298']
['verve:', '4.18963282937365']
['mammy:', '4.198272138228941']
['femme:', '4.200431965442765']
['poppy:', '4.201295896328293']
['fluff:', '4.205183585313175']
['quill:', '4.205183585313175']
['puppy:', '4.211663066954643']
['booby:', '4.212958963282937']
['civic:', '4.212958963282937']
['dizzy:', '4.213390928725702']
['ninny:', '4.217710583153348']
['kayak:', '4.231533477321814']
['bobby:', '4.233261339092873']
['woozy:', '4.23585313174946']
['mummy:', '4.241036717062635']
['fizzy:', '4.253563714902808']
['vivid:', '4.256155507559395']
['jiffy:', '4.2570194384449245']
['fuzzy:', '4.275161987041037']
['mamma:', '4.290280777537797']
['jazzy:', '4.311015118790497']
['queue:', '4.360259179265658']
